product_direction,product_category,product_brand,product_name,product_price,production_date,expire_date,period_of_duration,brand_availability,discount_percentage,price_after_discount,store_name,location_long,location_lat,product_group,sales_volume,date_of_manufacture,date_of_expiry,status
,,Danone,Cottage Cheese,7.65,,,,,,,FoodWorld,37.61733751,55.73850894,Dairy Products,51.0,28/09/2024,30/11/2024,yes
,,Ferrero,Candies,10.4,,,,,,,TastyBite,139.60812,35.65789719,Sweets,82.0,08/08/2024,18/01/2025,yes
,,Amul,Cheese,2.2,,,,,,,FoodWorld,37.5923539,55.77530998,Dairy Products,84.0,13/09/2024,19/10/2024,yes
,,Pepsi,Coffee,6.24,,,,,,,FoodWorld,37.60189916,55.78287448,Beverages,72.0,24/06/2024,16/01/2026,no
,,Barilla,Noodles,7.38,,,,,,,MegaMarket,-74.01990086,40.68238361,Bakery Products,40.0,03/09/2024,04/10/2024,no
,,Campina,Kefir,2.35,,,,,,,TastyBite,139.6609774,35.7183564,Dairy Products,83.0,19/11/2024,22/01/2025,yes
,,Mars,Jam,6.9,,,,,,,PrimePick,-112.1182773,33.42581738,Sweets,61.0,24/01/2025,12/12/2025,yes
,,Amul,Cream,2.66,,,,,,,TastyBite,139.6041194,35.70694307,Dairy Products,20.0,17/06/2024,17/07/2024,no
,,Parmalat,Milk,7.24,,,,,,,FreshFoods,-118.2299522,34.0078048,Dairy Products,70.0,08/08/2024,15/09/2024,no
,,Oscar Mayer,Hot Dogs,5.28,,,,,,,GoldenCart,-0.092976997,51.54112735,Meat Products,93.0,22/09/2024,01/11/2024,yes
,,Danone,Butter,7.83,,,,,,,MarketMax,2.369164117,48.89037167,Dairy Products,98.0,30/11/2024,01/01/2025,yes
,,Nestl̩,Candies,4.74,,,,,,,FoodWorld,37.6281529,55.71025084,Sweets,82.0,20/03/2024,24/11/2024,yes
,,Amul,Cheese,3.46,,,,,,,GoldenCart,-0.094189437,51.50402523,Dairy Products,12.0,17/05/2024,11/06/2024,yes
,,Barilla,Pasta,1.57,,,,,,,GoldenCart,-0.08122344,51.51651485,Bakery Products,82.0,26/09/2024,28/01/2025,no
,,Makfa,Bread,2.25,,,,,,,EcoGrocer,-95.35171094,29.74117823,Bakery Products,7.0,29/09/2024,18/12/2024,yes
,,Oscar Mayer,Lamb,13.79,,,,,,,GoldenCart,-0.094272474,51.49879828,Meat Products,38.0,29/07/2024,18/09/2024,yes
,,Nestl̩,Jam,11.5,,,,,,,GoldenCart,-0.14291408,51.51526962,Sweets,88.0,14/06/2024,30/09/2024,yes
,,Nestl̩ Pure Life,Juices,8.72,,,,,,,SuperValue,-87.65873372,41.88189488,Beverages,27.0,10/09/2024,06/08/2026,no
,,Oscar Mayer,Sausage,15.34,,,,,,,PrimePick,-112.0466591,33.40747575,Meat Products,34.0,04/04/2024,18/04/2024,yes
,,Cherkizovo,Sausage,11.45,,,,,,,FoodWorld,37.62598208,55.71978153,Meat Products,85.0,14/01/2025,23/01/2025,yes
,,Lipton,Juices,3.62,,,,,,,GoldenCart,-0.17701017,51.54433291,Beverages,44.0,13/02/2025,22/11/2025,yes
,,President,Butter,6.61,,,,,,,SuperValue,-87.66118393,41.87478412,Dairy Products,79.0,07/11/2024,04/02/2025,yes
,,Cherkizovo,Poultry,5.8,,,,,,,MarketMax,2.326558873,48.85395721,Meat Products,62.0,10/10/2024,05/11/2024,no
,,Mars,Ice Cream,7.93,,,,,,,EcoGrocer,-95.32971345,29.7867173,Sweets,55.0,03/08/2024,25/05/2025,yes
,,Ferrero,Halva,8.63,,,,,,,SuperValue,-87.59114048,41.92033536,Sweets,97.0,29/05/2024,01/11/2024,no
,,Ozon,Biscuits,1.01,,,,,,,MegaMarket,-74.02507265,40.75983251,Bakery Products,51.0,11/06/2024,13/10/2024,yes
,,Makfa,Biscuits,5.79,,,,,,,SuperValue,-87.67176247,41.85822823,Bakery Products,12.0,22/07/2024,06/09/2024,no
,,President,Cottage Cheese,9.3,,,,,,,GoldenCart,-0.16186702,51.45789448,Dairy Products,88.0,06/10/2024,16/11/2024,yes
,,President,Yogurt,8.19,,,,,,,FoodWorld,37.64360562,55.77642241,Dairy Products,41.0,26/05/2024,30/07/2024,no
,,Perdue,Smoked Meat,9.43,,,,,,,MarketMax,2.355611517,48.86629389,Meat Products,95.0,13/01/2025,21/01/2025,yes
,,Amul,Cottage Cheese,7.16,,,,,,,EcoGrocer,-95.3858149,29.74731326,Dairy Products,97.0,08/10/2024,31/10/2024,yes
,,Parmalat,Cheese,3.21,,,,,,,EcoGrocer,-95.38960621,29.71482479,Dairy Products,84.0,19/06/2024,26/08/2024,yes
,,Pepsi,Carbonated Drinks,7.51,,,,,,,FoodWorld,37.66315127,55.70928267,Beverages,51.0,08/12/2024,22/09/2025,yes
,,Danone,Kefir,5.07,,,,,,,FreshFoods,-118.2532526,34.06778686,Dairy Products,17.0,07/01/2025,26/03/2025,yes
,,Coca-Cola,Juices,9.45,,,,,,,FoodWorld,37.63431949,55.77118172,Beverages,55.0,29/07/2024,23/05/2025,no
,,Cherkizovo,Poultry,15.63,,,,,,,FoodWorld,37.64540035,55.75600616,Meat Products,15.0,18/06/2024,22/07/2024,yes
,,Milka,Candies,6.35,,,,,,,FreshFoods,-118.2599884,34.01723872,Sweets,66.0,27/01/2025,15/12/2025,yes
,,Tyson,Hot Dogs,13.51,,,,,,,MegaMarket,-74.00703786,40.67495514,Meat Products,88.0,24/09/2024,17/10/2024,yes
,,Perdue,Beef,17.72,,,,,,,MegaMarket,-74.03812718,40.71707485,Meat Products,58.0,01/09/2024,27/09/2024,yes
,,Pepsi,Carbonated Drinks,2.76,,,,,,,GoldenCart,-0.124673146,51.53059043,Beverages,11.0,17/12/2024,19/09/2025,yes
,,Nescaf̩,Carbonated Drinks,1.57,,,,,,,FoodWorld,37.59476962,55.74891005,Beverages,94.0,12/12/2024,22/09/2026,yes
,,President,Cottage Cheese,9.42,,,,,,,MegaMarket,-73.95831567,40.67747504,Dairy Products,93.0,28/04/2024,24/06/2024,no
,,Tyson,Sausage,10.22,,,,,,,MarketMax,2.320593035,48.84667396,Meat Products,15.0,25/06/2024,07/08/2024,yes
,,Parmalat,Cottage Cheese,4.2,,,,,,,TastyBite,139.6796723,35.68011576,Dairy Products,61.0,07/07/2024,14/09/2024,yes
,,Nestl̩,Candies,2.05,,,,,,,SuperValue,-87.61265604,41.85578538,Sweets,87.0,11/08/2024,28/03/2025,yes
,,Nescaf̩,Juices,1.25,,,,,,,MarketMax,2.329676866,48.87232128,Beverages,13.0,10/07/2024,24/08/2025,yes
,,Nestl̩,Halva,7.41,,,,,,,FreshFoods,-118.2208836,34.06333863,Sweets,54.0,07/02/2025,23/10/2025,yes
,,Perdue,Lamb,15.64,,,,,,,TastyBite,139.6343596,35.62745672,Meat Products,60.0,29/11/2024,19/12/2024,yes
,,Mars,Jam,2.83,,,,,,,MarketMax,2.305426651,48.83216926,Sweets,63.0,31/12/2024,23/09/2025,no
,,Perdue,Smoked Meat,17.5,,,,,,,TastyBite,139.6294823,35.66311915,Meat Products,60.0,03/04/2024,19/04/2024,yes
,,Parmalat,Cottage Cheese,5.0,,,,,,,GoldenCart,-0.136260701,51.51388924,Dairy Products,96.0,25/11/2024,08/01/2025,yes
,,President,Yogurt,4.31,,,,,,,MarketMax,2.387166819,48.86731217,Dairy Products,28.0,14/05/2024,09/08/2024,no
,,Pioner,Noodles,5.41,,,,,,,MarketMax,2.337402462,48.86160704,Bakery Products,36.0,29/08/2024,06/12/2024,yes
,,Pioner,Biscuits,6.78,,,,,,,GoldenCart,-0.12454916,51.50763047,Bakery Products,97.0,11/11/2024,30/01/2025,yes
,,Perdue,Smoked Meat,16.6,,,,,,,SuperValue,-87.67946626,41.86810544,Meat Products,23.0,08/05/2024,08/06/2024,yes
,,Ferrero,Candies,11.99,,,,,,,MarketMax,2.365841688,48.84762938,Sweets,79.0,30/01/2025,12/01/2026,yes
,,Makfa,Noodles,7.66,,,,,,,MarketMax,2.334702031,48.9011489,Bakery Products,81.0,15/11/2024,15/12/2024,yes
,,Roshen,Candies,9.23,,,,,,,NutriMart,-99.1177884,19.47095125,Sweets,21.0,08/11/2024,13/08/2025,yes
,,Oscar Mayer,Poultry,16.55,,,,,,,FoodWorld,37.65943857,55.79951409,Meat Products,9.0,03/04/2024,23/04/2024,yes
,,Pioner,Noodles,6.87,,,,,,,NutriMart,-99.15901164,19.42696532,Bakery Products,83.0,14/05/2024,22/10/2024,no
,,Nestl̩,Cream,9.96,,,,,,,SuperValue,-87.60759537,41.85258635,Dairy Products,5.0,13/10/2024,01/01/2025,no
,,Mars,Jam,9.15,,,,,,,FreshFoods,-118.1979425,34.08050427,Sweets,100.0,23/01/2025,21/01/2026,yes
,,Parmalat,Cheese,5.43,,,,,,,MegaMarket,-74.01616033,40.69209631,Dairy Products,92.0,05/12/2024,13/02/2025,yes
,,Mars,Jam,8.57,,,,,,,SuperValue,-87.60400596,41.91280704,Sweets,22.0,22/09/2024,20/07/2025,yes
,,Parmalat,Cream,9.19,,,,,,,EcoGrocer,-95.3987915,29.78995531,Dairy Products,89.0,25/04/2024,06/07/2024,yes
,,Nestl̩ Pure Life,Tea,9.32,,,,,,,EcoGrocer,-95.38555571,29.78609806,Beverages,90.0,29/07/2024,02/11/2025,no
,,Cherkizovo,Poultry,23.9,,,,,,,SuperValue,-87.67720595,41.88027793,Meat Products,92.0,15/08/2024,10/09/2024,yes
,,Oscar Mayer,Smoked Meat,17.15,,,,,,,PrimePick,-112.0800138,33.44592848,Meat Products,89.0,23/05/2024,08/06/2024,no
,,Yashkino,Bread,2.82,,,,,,,PrimePick,-112.1211995,33.46207623,Bakery Products,19.0,12/01/2025,22/01/2025,no
,,Ozon,Buns,3.2,,,,,,,TastyBite,139.662146,35.66678446,Bakery Products,20.0,13/01/2025,28/05/2025,yes
,,Pepsi,Tea,5.79,,,,,,,FoodWorld,37.65437823,55.77063765,Beverages,49.0,26/03/2024,27/11/2024,yes
,,Campina,Yogurt,6.56,,,,,,,EcoGrocer,-95.35893588,29.72540885,Dairy Products,46.0,29/11/2024,09/02/2025,yes
,,Ferrero,Jam,5.98,,,,,,,MegaMarket,-73.97142541,40.74679771,Sweets,26.0,21/09/2024,05/01/2025,yes
,,Roshen,Chocolate,4.48,,,,,,,GoldenCart,-0.150652644,51.50814165,Sweets,8.0,02/11/2024,25/10/2025,yes
,,Makfa,Buns,1.28,,,,,,,SuperValue,-87.61471928,41.8970699,Bakery Products,92.0,07/11/2024,29/12/2024,yes
,,Danone,Cottage Cheese,3.82,,,,,,,TastyBite,139.674611,35.65394766,Dairy Products,39.0,19/04/2024,29/05/2024,yes
,,Parmalat,Butter,5.83,,,,,,,NutriMart,-99.17337298,19.43032823,Dairy Products,82.0,25/04/2024,03/06/2024,yes
,,Yashkino,Biscuits,5.07,,,,,,,FoodWorld,37.62153688,55.72553962,Bakery Products,39.0,04/01/2025,13/01/2025,no
,,Yashkino,Buns,2.76,,,,,,,FreshFoods,-118.2494358,34.07419815,Bakery Products,79.0,07/11/2024,14/11/2024,yes
,,Nestl̩,Halva,4.64,,,,,,,PrimePick,-112.1063468,33.44766051,Sweets,37.0,12/02/2025,13/10/2025,yes
,,Perdue,Beef,5.13,,,,,,,GoldenCart,-0.121673568,51.48492883,Meat Products,97.0,20/06/2024,28/07/2024,no
,,President,Cream,4.74,,,,,,,TastyBite,139.6166131,35.67325063,Dairy Products,39.0,06/05/2024,15/07/2024,yes
,,Makfa,Bread,6.36,,,,,,,SuperValue,-87.66892883,41.84745955,Bakery Products,65.0,22/08/2024,18/11/2024,yes
,,Ozon,Pasta,6.97,,,,,,,PrimePick,-112.1029708,33.49115515,Bakery Products,25.0,07/10/2024,26/11/2024,yes
,,Nescaf̩,Tea,14.06,,,,,,,SuperValue,-87.62815337,41.86066813,Beverages,100.0,03/08/2024,21/09/2025,yes
,,Hormel,Sausage,12.87,,,,,,,PrimePick,-112.0933768,33.43547911,Meat Products,40.0,22/10/2024,04/12/2024,yes
,,Pioner,Bread,5.63,,,,,,,MarketMax,2.343078777,48.81213074,Bakery Products,3.0,30/06/2024,29/08/2024,yes
,,Nestl̩ Pure Life,Coffee,9.65,,,,,,,GoldenCart,-0.135050165,51.4597679,Beverages,72.0,29/06/2024,03/08/2025,yes
,,Perdue,Smoked Meat,20.62,,,,,,,PrimePick,-112.0996862,33.40908346,Meat Products,76.0,14/11/2024,23/11/2024,yes
,,Nestl̩,Chocolate,4.76,,,,,,,FoodWorld,37.66599292,55.73078461,Sweets,13.0,16/04/2024,06/01/2025,yes
,,Parmalat,Butter,8.99,,,,,,,PrimePick,-112.1105715,33.40950308,Dairy Products,94.0,16/10/2024,18/11/2024,yes
,,Ozon,Noodles,4.72,,,,,,,NutriMart,-99.17439948,19.40259943,Bakery Products,70.0,30/07/2024,26/12/2024,yes
,,Hormel,Sausage,11.43,,,,,,,MegaMarket,-73.97900941,40.67684676,Meat Products,96.0,06/07/2024,24/07/2024,yes
,,Hormel,Hot Dogs,7.38,,,,,,,GoldenCart,-0.11003312,51.49070121,Meat Products,96.0,30/03/2024,14/04/2024,yes
,,Mars,Halva,11.96,,,,,,,MarketMax,2.3820097,48.88720648,Sweets,48.0,27/03/2024,03/02/2025,no
,,Milka,Jam,11.74,,,,,,,GoldenCart,-0.128599053,51.53641375,Sweets,9.0,26/04/2024,10/09/2024,no
,,Amul,Cheese,8.02,,,,,,,TastyBite,139.65165,35.64202239,Dairy Products,79.0,14/02/2025,24/03/2025,no
,,Ozon,Wheat Flour,3.38,,,,,,,MarketMax,2.348771517,48.88837558,Bakery Products,24.0,13/02/2025,17/07/2025,yes
,,Tyson,Hot Dogs,9.5,,,,,,,MarketMax,2.342346607,48.8955397,Meat Products,50.0,28/03/2024,04/04/2024,yes
,,Cherkizovo,Sausage,21.43,,,,,,,PrimePick,-112.0655624,33.48395746,Meat Products,84.0,29/06/2024,24/08/2024,no
,,Ozon,Pasta,5.21,,,,,,,NutriMart,-99.1059008,19.39786048,Bakery Products,13.0,01/04/2024,22/08/2024,no
,,Hormel,Lamb,11.06,,,,,,,SuperValue,-87.58433394,41.88210763,Meat Products,85.0,03/07/2024,22/07/2024,yes
,,Tyson,Lamb,23.96,,,,,,,PrimePick,-112.0320122,33.42169789,Meat Products,57.0,21/05/2024,20/07/2024,yes
,,Pepsi,Carbonated Drinks,2.3,,,,,,,EcoGrocer,-95.37511876,29.74844166,Beverages,99.0,29/09/2024,02/08/2025,yes
,,Barilla,Biscuits,6.25,,,,,,,NutriMart,-99.17102962,19.45505183,Bakery Products,95.0,22/01/2025,30/04/2025,yes
,,Milka,Ice Cream,11.45,,,,,,,EcoGrocer,-95.4107209,29.73143275,Sweets,33.0,04/12/2024,30/04/2025,yes
,,Parmalat,Kefir,9.57,,,,,,,MarketMax,2.342230835,48.88694117,Dairy Products,40.0,21/04/2024,29/06/2024,yes
,,Lipton,Mineral Water,1.64,,,,,,,EcoGrocer,-95.41135485,29.81037066,Beverages,36.0,13/02/2025,09/07/2026,no
,,Makfa,Buns,5.17,,,,,,,SuperValue,-87.66700517,41.88455792,Bakery Products,61.0,07/04/2024,29/04/2024,yes
,,Pioner,Pasta,6.19,,,,,,,PrimePick,-112.0825124,33.4355704,Bakery Products,23.0,09/12/2024,23/01/2025,no
,,Barilla,Biscuits,5.38,,,,,,,SuperValue,-87.58730455,41.8646068,Bakery Products,27.0,22/08/2024,10/12/2024,no
,,Parmalat,Milk,9.31,,,,,,,PrimePick,-112.1211522,33.46059136,Dairy Products,61.0,05/04/2024,07/05/2024,yes
,,Makfa,Wheat Flour,1.64,,,,,,,MarketMax,2.374452272,48.88285023,Bakery Products,2.0,13/09/2024,16/11/2024,no
,,Nescaf̩,Tea,5.36,,,,,,,FreshFoods,-118.2472567,34.09907304,Beverages,18.0,21/01/2025,20/07/2025,yes
,,Cherkizovo,Smoked Meat,14.86,,,,,,,PrimePick,-112.0583626,33.41121986,Meat Products,92.0,07/05/2024,13/06/2024,no
,,Makfa,Pasta,6.02,,,,,,,NutriMart,-99.16126889,19.40222871,Bakery Products,85.0,30/04/2024,31/05/2024,yes
,,Ozon,Bread,5.14,,,,,,,NutriMart,-99.16057766,19.39312282,Bakery Products,91.0,10/11/2024,07/05/2025,yes
,,Nestl̩ Pure Life,Carbonated Drinks,9.85,,,,,,,PrimePick,-112.1108293,33.47438936,Beverages,75.0,05/04/2024,31/10/2025,no
,,Makfa,Biscuits,4.37,,,,,,,SuperValue,-87.61633693,41.82953217,Bakery Products,42.0,24/03/2024,24/08/2024,no
,,Nestl̩,Ice Cream,7.46,,,,,,,EcoGrocer,-95.33810105,29.77327129,Sweets,28.0,06/11/2024,18/06/2025,yes
,,Hormel,Lamb,22.44,,,,,,,PrimePick,-112.0725509,33.46394605,Meat Products,33.0,09/09/2024,06/11/2024,no
,,Cherkizovo,Poultry,17.85,,,,,,,FoodWorld,37.63410127,55.77212481,Meat Products,9.0,22/09/2024,26/10/2024,no
,,Nestl̩,Cottage Cheese,8.99,,,,,,,SuperValue,-87.58229121,41.83755835,Dairy Products,92.0,17/08/2024,16/09/2024,yes
,,Ferrero,Ice Cream,10.4,,,,,,,MarketMax,2.396154863,48.86192985,Sweets,66.0,26/06/2024,05/12/2024,yes
,,Roshen,Candies,2.47,,,,,,,MegaMarket,-73.98154042,40.68266771,Sweets,73.0,15/12/2024,08/12/2025,yes
,,Ferrero,Cakes,8.35,,,,,,,TastyBite,139.6950163,35.64924235,Sweets,21.0,09/05/2024,30/10/2024,no
,,Yashkino,Noodles,1.34,,,,,,,EcoGrocer,-95.34468958,29.79472388,Bakery Products,55.0,30/06/2024,16/09/2024,no
,,Lipton,Tea,1.0,,,,,,,MarketMax,2.392295662,48.83624964,Beverages,42.0,27/05/2024,26/09/2025,yes
,,Roshen,Chocolate,3.44,,,,,,,TastyBite,139.6211755,35.69301202,Sweets,8.0,15/10/2024,25/03/2025,no
,,Lipton,Coffee,1.99,,,,,,,EcoGrocer,-95.4038557,29.74952383,Beverages,25.0,24/07/2024,13/01/2026,no
,,Ferrero,Candies,9.61,,,,,,,PrimePick,-112.0838559,33.41244403,Sweets,57.0,30/05/2024,16/01/2025,yes
,,Nestl̩,Candies,10.22,,,,,,,FreshFoods,-118.2412759,34.05426203,Sweets,85.0,29/10/2024,28/06/2025,yes
,,Hormel,Beef,17.54,,,,,,,NutriMart,-99.17615973,19.42803674,Meat Products,49.0,27/07/2024,10/08/2024,yes
,,Nestl̩ Pure Life,Carbonated Drinks,14.97,,,,,,,SuperValue,-87.61065631,41.91572423,Beverages,67.0,10/05/2024,04/02/2025,yes
,,Lipton,Tea,13.11,,,,,,,NutriMart,-99.15907074,19.46910851,Beverages,8.0,08/02/2025,22/11/2025,yes
,,Perdue,Smoked Meat,5.26,,,,,,,PrimePick,-112.0599735,33.48887314,Meat Products,33.0,17/09/2024,29/09/2024,no
,,Nestl̩,Jam,7.61,,,,,,,FoodWorld,37.61679761,55.73007442,Sweets,35.0,11/05/2024,15/04/2025,no
,,Coca-Cola,Coffee,9.06,,,,,,,MarketMax,2.389239346,48.86726278,Beverages,14.0,15/01/2025,22/10/2025,yes
,,Nestl̩,Ice Cream,8.47,,,,,,,EcoGrocer,-95.35253906,29.74647008,Sweets,92.0,08/04/2024,31/12/2024,yes
,,Lipton,Mineral Water,1.34,,,,,,,FoodWorld,37.61957654,55.76313449,Beverages,28.0,03/01/2025,03/01/2026,no
,,Campina,Cheese,4.82,,,,,,,FreshFoods,-118.2524856,34.03142768,Dairy Products,33.0,18/09/2024,15/11/2024,no
,,Nestl̩ Pure Life,Carbonated Drinks,11.37,,,,,,,PrimePick,-112.1192201,33.4430007,Beverages,27.0,29/12/2024,22/05/2026,no
,,Hormel,Hot Dogs,21.57,,,,,,,SuperValue,-87.59413536,41.91257198,Meat Products,69.0,13/07/2024,09/08/2024,yes
,,Pepsi,Tea,5.91,,,,,,,FreshFoods,-118.2624076,34.06614517,Beverages,26.0,01/08/2024,09/06/2026,no
,,Tyson,Beef,23.18,,,,,,,GoldenCart,-0.081869167,51.53287708,Meat Products,25.0,10/01/2025,05/02/2025,no
,,Pioner,Noodles,1.65,,,,,,,TastyBite,139.6562921,35.65582037,Bakery Products,90.0,26/04/2024,22/06/2024,no
,,Cherkizovo,Poultry,7.07,,,,,,,MarketMax,2.316776544,48.89182088,Meat Products,51.0,26/05/2024,26/06/2024,no
,,Oscar Mayer,Sausage,8.1,,,,,,,PrimePick,-112.0269255,33.459742,Meat Products,6.0,22/07/2024,02/09/2024,no
,,Makfa,Pasta,2.02,,,,,,,MegaMarket,-73.9726752,40.71224929,Bakery Products,57.0,13/02/2025,16/04/2025,yes
,,Lipton,Coffee,6.77,,,,,,,MegaMarket,-74.00767267,40.74855313,Beverages,71.0,03/01/2025,14/01/2026,no
,,Nestl̩ Pure Life,Juices,6.1,,,,,,,NutriMart,-99.12565431,19.42256168,Beverages,34.0,25/10/2024,07/05/2026,no
,,Ozon,Buns,1.9,,,,,,,EcoGrocer,-95.38409258,29.74241547,Bakery Products,32.0,19/12/2024,23/05/2025,no
,,Amul,Yogurt,8.57,,,,,,,TastyBite,139.653836,35.69703539,Dairy Products,93.0,13/09/2024,06/12/2024,yes
,,Nestl̩,Ice Cream,11.53,,,,,,,PrimePick,-112.1186799,33.45582592,Sweets,76.0,28/10/2024,28/02/2025,yes
,,Perdue,Smoked Meat,12.09,,,,,,,TastyBite,139.6653278,35.67104683,Meat Products,19.0,20/04/2024,09/06/2024,no
,,Campina,Cottage Cheese,9.89,,,,,,,PrimePick,-112.0292649,33.45537536,Dairy Products,63.0,25/10/2024,25/11/2024,yes
,,Hormel,Lamb,7.88,,,,,,,FoodWorld,37.6370206,55.73678253,Meat Products,73.0,04/12/2024,06/01/2025,yes
,,Mars,Jam,9.75,,,,,,,NutriMart,-99.18252247,19.41404586,Sweets,97.0,18/09/2024,16/02/2025,yes
,,Makfa,Noodles,1.21,,,,,,,FreshFoods,-118.220662,34.0551772,Bakery Products,100.0,18/06/2024,10/08/2024,no
,,Nescaf̩,Tea,2.94,,,,,,,FreshFoods,-118.2842839,34.03537901,Beverages,53.0,30/09/2024,27/07/2026,yes
,,Nestl̩ Pure Life,Tea,6.62,,,,,,,FreshFoods,-118.2759589,34.03331954,Beverages,12.0,21/06/2024,10/09/2025,yes
,,Milka,Chocolate,8.83,,,,,,,FreshFoods,-118.2185185,34.03617202,Sweets,78.0,19/04/2024,17/08/2024,yes
,,Parmalat,Cheese,6.51,,,,,,,MegaMarket,-74.0030879,40.75915998,Dairy Products,40.0,02/04/2024,27/06/2024,no
,,Yashkino,Pasta,5.2,,,,,,,SuperValue,-87.61771276,41.84694821,Bakery Products,45.0,07/05/2024,22/06/2024,yes
,,Yashkino,Pasta,1.27,,,,,,,FoodWorld,37.65526719,55.77643676,Bakery Products,57.0,03/04/2024,16/09/2024,yes
,,Tyson,Poultry,15.37,,,,,,,FreshFoods,-118.2625335,34.08292048,Meat Products,88.0,19/06/2024,02/08/2024,no
,,Milka,Ice Cream,9.84,,,,,,,FoodWorld,37.58282526,55.72511597,Sweets,85.0,24/12/2024,09/10/2025,no
,,Makfa,Biscuits,3.51,,,,,,,TastyBite,139.6249222,35.63274636,Bakery Products,25.0,11/10/2024,28/10/2024,no
,,Mars,Halva,7.63,,,,,,,FoodWorld,37.65826681,55.78689074,Sweets,12.0,30/08/2024,24/08/2025,no
,,Ozon,Bread,3.05,,,,,,,TastyBite,139.6549381,35.66561849,Bakery Products,18.0,03/11/2024,30/12/2024,yes
,,President,Milk,6.88,,,,,,,MarketMax,2.310438889,48.85011388,Dairy Products,42.0,31/12/2024,16/03/2025,yes
,,Mars,Candies,8.41,,,,,,,PrimePick,-112.0541098,33.47548427,Sweets,12.0,23/08/2024,17/02/2025,no
,,Pepsi,Juices,11.34,,,,,,,TastyBite,139.6969768,35.62899631,Beverages,69.0,14/04/2024,29/12/2025,yes
,,Danone,Milk,7.7,,,,,,,SuperValue,-87.61168666,41.87897456,Dairy Products,59.0,22/06/2024,03/08/2024,yes
,,Mars,Chocolate,11.24,,,,,,,EcoGrocer,-95.36268547,29.75992752,Sweets,49.0,02/07/2024,28/11/2024,yes
,,Oscar Mayer,Sausage,13.04,,,,,,,EcoGrocer,-95.3282755,29.77635942,Meat Products,30.0,25/09/2024,24/11/2024,yes
,,Nescaf̩,Juices,6.73,,,,,,,NutriMart,-99.11634672,19.40721732,Beverages,27.0,16/02/2025,21/05/2026,yes
,,Pioner,Bread,5.85,,,,,,,MarketMax,2.386463425,48.84431318,Bakery Products,77.0,24/03/2024,07/09/2024,yes
,,Campina,Milk,2.53,,,,,,,FoodWorld,37.63624994,55.71868882,Dairy Products,15.0,08/06/2024,23/08/2024,yes
,,Nestl̩ Pure Life,Coffee,2.52,,,,,,,SuperValue,-87.65415008,41.92245031,Beverages,37.0,11/08/2024,01/11/2025,yes
,,Pepsi,Carbonated Drinks,7.7,,,,,,,EcoGrocer,-95.364325,29.80542091,Beverages,67.0,06/04/2024,26/01/2026,yes
,,Danone,Cheese,7.91,,,,,,,MegaMarket,-74.03755217,40.74610947,Dairy Products,79.0,24/09/2024,03/12/2024,yes
,,Makfa,Buns,1.1,,,,,,,MegaMarket,-74.00563807,40.72908768,Bakery Products,41.0,10/04/2024,09/09/2024,yes
,,Barilla,Biscuits,4.54,,,,,,,PrimePick,-112.0889883,33.49058398,Bakery Products,49.0,05/06/2024,25/08/2024,yes
,,President,Milk,4.3,,,,,,,EcoGrocer,-95.34768189,29.74398886,Dairy Products,32.0,21/01/2025,12/04/2025,yes
,,President,Cottage Cheese,7.79,,,,,,,TastyBite,139.6059713,35.72261765,Dairy Products,69.0,27/03/2024,01/05/2024,yes
,,Barilla,Biscuits,6.7,,,,,,,MegaMarket,-74.04562074,40.67714865,Bakery Products,1.0,01/01/2025,22/01/2025,no
,,Amul,Cottage Cheese,9.5,,,,,,,FreshFoods,-118.2174824,34.0879003,Dairy Products,10.0,29/03/2024,11/06/2024,yes
,,Pioner,Noodles,4.18,,,,,,,PrimePick,-112.0853233,33.466961,Bakery Products,33.0,11/09/2024,27/02/2025,no
,,Makfa,Bread,7.99,,,,,,,SuperValue,-87.59185557,41.87352232,Bakery Products,82.0,16/06/2024,30/09/2024,no
,,Oscar Mayer,Beef,22.6,,,,,,,GoldenCart,-0.134626341,51.53140056,Meat Products,59.0,15/10/2024,06/12/2024,no
,,Pioner,Biscuits,4.11,,,,,,,MarketMax,2.364849991,48.81910242,Bakery Products,54.0,09/11/2024,11/03/2025,yes
,,Yashkino,Pasta,4.98,,,,,,,GoldenCart,-0.111262657,51.49118013,Bakery Products,32.0,08/07/2024,01/09/2024,no
,,Nestl̩ Pure Life,Juices,7.58,,,,,,,NutriMart,-99.13686241,19.41894149,Beverages,28.0,06/10/2024,26/08/2025,yes
,,Nestl̩,Chocolate,7.52,,,,,,,FoodWorld,37.65058879,55.73583203,Sweets,26.0,08/07/2024,27/03/2025,yes
,,Coca-Cola,Carbonated Drinks,4.83,,,,,,,MarketMax,2.345378382,48.9003122,Beverages,50.0,03/01/2025,25/12/2025,no
,,Ferrero,Candies,4.46,,,,,,,NutriMart,-99.11907619,19.459524,Sweets,53.0,28/08/2024,23/07/2025,no
,,Roshen,Jam,9.87,,,,,,,FoodWorld,37.66060202,55.73742146,Sweets,81.0,06/04/2024,23/08/2024,yes
,,Tyson,Poultry,8.01,,,,,,,MegaMarket,-73.96905363,40.75481718,Meat Products,46.0,30/06/2024,23/08/2024,yes
,,Nestl̩,Ice Cream,5.03,,,,,,,FreshFoods,-118.2027754,34.03849401,Sweets,44.0,16/06/2024,09/02/2025,no
